uniprot_id,source,structure_id,resolution,exp_method,chains,url,available,n_pdb_structures
A0A5B9,pdb,4udt,1.35,X-ray,B=1-129,https://files.rcsb.org/download/4udt.cif,True,62
A0JLT2,pdb,7emf,3.5,EM,S=1-244,https://files.rcsb.org/download/7emf.cif,True,10
A0M8Q6,alphafold,AF-A0M8Q6-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A0M8Q6-F1-model_v6.cif,True,0
A0AVF1,alphafold,AF-A0AVF1-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A0AVF1-F1-model_v6.cif,True,0
A4GXA9,pdb,7f6l,3.2,X-ray,B=1-379,https://files.rcsb.org/download/7f6l.cif,True,1
A1L190,pdb,6h86,1.9,X-ray,A/B=1-88,https://files.rcsb.org/download/6h86.cif,True,1
A5D8V7,alphafold,AF-A5D8V7-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5D8V7-F1-model_v6.cif,True,0
A2RRP1,alphafold,AF-A2RRP1-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A2RRP1-F1-model_v6.cif,True,0
A5D8V6,alphafold,AF-A5D8V6-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5D8V6-F1-model_v6.cif,True,0
A5LHX3,alphafold,AF-A5LHX3-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5LHX3-F1-model_v6.cif,True,0
A5PLN9,alphafold,AF-A5PLN9-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5PLN9-F1-model_v6.cif,True,0
A5X5Y0,alphafold,AF-A5X5Y0-F1,,AlphaFold prediction,,https://alphafold.ebi.ac.uk/files/AF-A5X5Y0-F1-model_v6.cif,True,0
A6NHQ4,pdb,9laf,2.14,X-ray,A=34-50,https://files.rcsb.org/download/9laf.cif,True,1
