uniprot_id,group_id,representative
A0A5B9,grp_0222,P08887
A0AVF1,grp_0018,O00231
A0JLT2,grp_0000,A0JLT2
A0M8Q6,grp_0222,P08887
A1L190,grp_0001,A1L190
A2RRP1,grp_1179,Q3SYG4
A4GXA9,grp_0002,A4GXA9
A5D8V6,grp_1284,Q9BWT7
A5D8V7,grp_1013,Q9H9C1
A5LHX3,grp_0821,Q969U7
A5PLN9,grp_0003,A5PLN9
A5X5Y0,grp_0211,P07510
A5YKK6,grp_0004,A5YKK6
A6H8Y1,grp_0005,A6H8Y1
A6NGQ2,grp_0006,A6NGQ2
A6NHQ4,grp_0007,A6NHQ4
A6NHX0,grp_0768,Q8WTX7
A7MCY6,grp_0824,Q96A72
A8K0Z3,grp_0009,A8MWX3
A8MT69,grp_0301,P23511
A8MTZ0,grp_0008,A8MTZ0
A8MW99,grp_0848,Q96GM5
A8MWX3,grp_0009,A8MWX3
A8MZ26,grp_0697,Q08209
A9QM74,grp_1301,Q9C0D3
A9UHW6,grp_0094,O43432
B1AL88,grp_0716,Q8N2C7
B7Z8K6,grp_0010,B7Z8K6
C4AMC7,grp_0009,A8MWX3
C9JR72,grp_1186,Q53GT1
D6RGH6,grp_0011,D6RGH6
E9PQX1,grp_0012,E9PQX1
K9M1U5,grp_0222,P08887
L0R819,grp_0969,Q9NQP4
O00148,grp_0688,Q13619
O00159,grp_0013,O00159
O00168,grp_0014,O00168
O00187,grp_0015,O00187
O00189,grp_0016,O00189
O00203,grp_0738,Q8NCN5
O00206,grp_1038,P01222
O00217,grp_0017,O00217
O00219,grp_0119,O60762
O00231,grp_0821,Q969U7
O00232,grp_0821,Q969U7
O00255,grp_0020,O00255
O00257,grp_0165,Q99549
O00258,grp_0103,O43681
O00267,grp_0841,Q96ES7
O00268,grp_0021,O00268
O00273,grp_0022,O00273
O00287,grp_0023,O00287
O00300,grp_0101,O43556
O00303,grp_0024,O00303
O00305,grp_0025,O00305
O00327,grp_0317,P27540
O00329,grp_0224,P09619
O00330,grp_0242,P11182
O00339,grp_0000,A0JLT2
O00411,grp_0026,O00411
O00422,grp_0027,O00422
O00444,grp_0916,Q00536
O00459,grp_0028,O00459
O00463,grp_1293,Q9BYE7
O00471,grp_0110,O60293
O00472,grp_0029,O00472
O00483,grp_0030,O00483
O00487,grp_0821,Q969U7
O00499,grp_1076,Q9Y5X3
O00505,grp_1301,Q9C0D3
O00522,grp_0928,Q02410
O00541,grp_1098,Q14137
O00560,grp_1295,Q9BYG4
O00566,grp_0033,O00566
O00567,grp_0033,O00566
O00602,grp_0034,O00602
O00623,grp_1293,Q9BYE7
O00629,grp_0035,O00629
O00716,grp_0036,O00716
O14497,grp_0037,O14497
O14521,grp_0038,O14521
O14561,grp_0039,O14561
O14579,grp_0018,O00231
O14593,grp_0041,O14593
O14617,grp_0574,P51809
O14682,grp_1186,Q53GT1
O14686,grp_0042,O14686
O14713,grp_0043,O14713
O14727,grp_0966,Q9NPP4
O14744,grp_0899,P78346
O14746,grp_0738,Q8NCN5
O14764,grp_0101,O43556
O14777,grp_1082,Q9Y6D9
O14782,grp_0045,O14782
O14802,grp_0046,O14802
O14807,grp_0369,Q7Z3J2
O14818,grp_0821,Q969U7
O14862,grp_0868,Q96P20
O14863,grp_0951,Q8IUX1
O14867,grp_1186,Q53GT1
O14893,grp_1091,Q9BRA0
O14908,grp_1295,Q9BYG4
O14910,grp_1295,Q9BYG4
O14920,grp_0048,O14920
O14925,grp_0951,Q8IUX1
O14936,grp_0929,Q02641
O14949,grp_0049,O14949
O14957,grp_0049,O14949
O14964,grp_0050,O14964
O14972,grp_0110,O60293
O15047,grp_1341,O75934
O15055,grp_0051,O15055
O15066,grp_0045,O14782
O15078,grp_0052,O15078
O15091,grp_0053,O15091
O15111,grp_0054,O15111
O15131,grp_0055,O15131
O15143,grp_0056,O15143
O15144,grp_0056,O15143
O15145,grp_0056,O15143
O15151,grp_0059,O15151
O15160,grp_0060,O15160
O15169,grp_0061,O15169
O15182,grp_0697,Q08209
O15212,grp_0062,O15212
O15213,grp_0033,O00566
O15230,grp_0063,O15230
O15232,grp_0000,A0JLT2
O15234,grp_1341,O75934
O15235,grp_0064,O15235
O15239,grp_0065,O15239
O15259,grp_0066,O15259
O15265,grp_0067,O15265
O15269,grp_0068,O15269
O15270,grp_0068,O15269
O15273,grp_0222,P08887
O15287,grp_0070,O15287
O15294,grp_0071,O15294
O15315,grp_0072,O15315
O15318,grp_0046,O14802
O15342,grp_0073,O15342
O15360,grp_0070,O15287
O15371,grp_0024,O00303
O15372,grp_0024,O00303
O15392,grp_0076,O15392
O15399,grp_0657,Q13003
O15409,grp_1298,Q9BZS1
O15446,grp_0060,O15160
O15457,grp_0077,O15457
O15498,grp_0574,P51809
O15503,grp_0078,O15503
O15504,grp_0079,O15504
O15511,grp_0056,O15143
O15514,grp_0080,O15514
O15516,grp_0317,P27540
O15525,grp_1110,Q14494
O15533,grp_0081,O15533
O15534,grp_0317,P27540
O15550,grp_0082,O15550
O15553,grp_0436,Q9UBL3
O43148,grp_0083,O43148
O43156,grp_1227,Q6NXR4
O43159,grp_0450,Q9UI30
O43172,grp_0084,O43172
O43181,grp_0017,O00217
O43187,grp_0086,O43187
O43189,grp_0087,O43189
O43196,grp_0077,O15457
O43237,grp_1113,Q14657
O43242,grp_0821,Q969U7
O43257,grp_1227,Q6NXR4
O43264,grp_0110,O60293
O43290,grp_0091,O43290
O43292,grp_0000,A0JLT2
O43299,grp_0673,Q13352
O43318,grp_0916,Q00536
O43324,grp_0606,P56192
O43402,grp_0093,O43402
O43432,grp_0094,O43432
O43463,grp_0165,Q99549
O43482,grp_0095,O43482
O43502,grp_0072,O15315
O43504,grp_1329,O95876
O43513,grp_0000,A0JLT2
O43520,grp_0098,O43520
O43521,grp_0099,O43521
O43524,grp_0100,O43524
O43542,grp_0072,O15315
O43543,grp_0072,O15315
O43556,grp_0101,O43556
O43557,grp_0101,O43556
