uniprot_id,group_id,representative
A0AVF1,grp_1747,Q7Z392
A0FGR8,grp_0704,Q9P2Y5
A0FGR9,grp_0704,Q9P2Y5
A0JLT2,grp_0000,A0JLT2
A1A4S6,grp_0761,Q9UKS6
A1Z199,grp_0001,A1Z199
A2A288,grp_1062,Q5D1E8
A2RRP1,grp_0514,O75096
A3KN83,grp_0603,Q9Y6F6
A4D0T7,grp_0002,A4D0T7
A5D8V6,grp_0475,Q8NHY3
A5D8V7,grp_1764,Q92994
A5PLN9,grp_1747,Q7Z392
A5X5Y0,grp_0124,P02708
A5YKK6,grp_0003,A5YKK6
A6H8Y1,grp_0004,A6H8Y1
A6ND01,grp_0283,P15328
A6NED2,grp_0475,Q8NHY3
A6NFQ2,grp_0618,Q9Y4C2
A6NGQ2,grp_0514,O75096
A6NIX2,grp_0915,Q13643
A6NKF1,grp_1083,Q5TB80
A7MCY6,grp_1256,O94763
A8K0Z3,grp_0005,A8K0Z3
A8K8P3,grp_0006,A8K8P3
A8MT69,grp_0007,A8MT69
A8MTZ0,grp_0008,A8MTZ0
B4DGM9,grp_1287,Q96TA2
D6RGH6,grp_0009,D6RGH6
D9YZV4,grp_0010,D9YZV4
E9PGT3,grp_1154,Q7KZI7
O00116,grp_0011,O00116
O00139,grp_0012,O00139
O00141,grp_1154,Q7KZI7
O00148,grp_1333,Q9BTD8
O00151,grp_0152,P04921
O00159,grp_0013,O00159
O00161,grp_0014,O00161
O00165,grp_1430,Q9H900
O00170,grp_0015,O00170
O00187,grp_0016,O00187
O00189,grp_0017,O00189
O00203,grp_1747,Q7Z392
O00206,grp_2043,O95970
O00212,grp_1932,P84077
O00213,grp_0018,O00213
O00217,grp_0019,O00217
O00219,grp_1594,P49770
O00221,grp_2007,Q96HA7
O00222,grp_1048,Q3KNW5
O00231,grp_0771,Q9UL46
O00232,grp_0771,Q9UL46
O00233,grp_0022,O00233
O00254,grp_1080,Q5T848
O00255,grp_0023,O00255
O00257,grp_0803,Q9Y232
O00264,grp_0024,O00264
O00267,grp_0029,O00303
O00268,grp_0025,O00268
O00270,grp_1080,Q5T848
O00287,grp_0026,O00287
O00291,grp_0027,O00291
O00300,grp_0028,O00300
O00303,grp_0029,O00303
O00311,grp_0718,Q9UBU7
O00327,grp_0658,O15534
O00329,grp_0030,O00329
O00401,grp_0031,O00401
O00408,grp_0884,Q13370
O00410,grp_1184,Q92616
O00422,grp_0032,O00422
O00429,grp_2050,O60313
O00443,grp_0704,Q9P2Y5
O00444,grp_1154,Q7KZI7
O00451,grp_1840,O95390
O00459,grp_0033,O00459
O00469,grp_1594,P49770
O00470,grp_0543,Q9NPC8
O00471,grp_1184,Q92616
O00472,grp_0731,Q9UHB7
O00482,grp_0034,O00482
O00483,grp_0035,O00483
O00487,grp_0771,Q9UL46
O00499,grp_1201,Q92878
O00505,grp_1076,Q5T2S8
O00512,grp_0037,O00512
O00522,grp_0887,Q13402
O00541,grp_0038,O00541
O00548,grp_0628,Q9Y547
O00555,grp_0039,O00555
O00560,grp_0152,P04921
O00562,grp_1727,Q08722
O00566,grp_0040,O00566
O00567,grp_0040,O00566
O00571,grp_0041,O00571
O00592,grp_0956,Q14693
O00622,grp_1594,P49770
O00623,grp_0516,O75150
O00629,grp_0043,O00629
O00631,grp_0044,O00631
O00743,grp_1524,P42356
O00750,grp_0030,O00329
O00764,grp_0045,O00764
O14490,grp_0046,O14490
O14495,grp_0047,O14495
O14497,grp_0048,O14497
O14508,grp_0049,O14508
O14519,grp_0050,O14519
O14543,grp_1196,Q92754
O14544,grp_0051,O14544
O14558,grp_0750,Q9UJY1
O14561,grp_0052,O14561
O14576,grp_0514,O75096
O14593,grp_0053,O14593
O14595,grp_0054,O14595
O14610,grp_1609,P50150
O14617,grp_0515,O75140
O14640,grp_0152,P04921
O14641,grp_0152,P04921
O14654,grp_0055,O14654
O14656,grp_1066,Q5JTV8
O14657,grp_1287,Q96TA2
O14662,grp_0055,O14654
O14678,grp_1398,Q9H222
O14686,grp_0057,O14686
O14713,grp_0055,O14654
O14727,grp_0552,Q9NPP4
O14744,grp_0427,P30613
O14745,grp_0152,P04921
O14746,grp_0590,Q9NX02
O14757,grp_1154,Q7KZI7
O14763,grp_0028,O00300
O14764,grp_0124,P02708
O14775,grp_0060,O14775
O14776,grp_0000,A0JLT2
O14777,grp_1843,O95229
O14786,grp_0628,Q9Y547
O14787,grp_1042,Q29RF7
O14788,grp_0028,O00300
O14791,grp_1727,Q08722
O14793,grp_1727,Q08722
O14802,grp_0063,O14802
O14807,grp_1524,P42356
O14810,grp_0064,O14810
O14817,grp_0207,P08962
O14818,grp_0771,Q9UL46
O14828,grp_0080,O15127
O14836,grp_0065,O14836
O14862,grp_2028,Q96P20
O14867,grp_0701,Q9P2G9
O14879,grp_0066,O14879
O14893,grp_1355,Q9BW85
O14894,grp_0959,Q14714
O14908,grp_0152,P04921
O14910,grp_0152,P04921
O14920,grp_0068,O14920
O14925,grp_0069,O14925
O14929,grp_0070,O14929
O14931,grp_1727,Q08722
O14936,grp_1944,Q00975
O14944,grp_1727,Q08722
O14964,grp_0071,O14964
O14965,grp_1154,Q7KZI7
O14974,grp_0072,O14974
O14976,grp_1154,Q7KZI7
O14977,grp_0246,P11926
O14979,grp_0073,O14979
O14980,grp_0074,O14980
O14983,grp_1615,P50993
O14986,grp_0075,O14986
O15027,grp_0287,P15502
O15042,grp_0475,Q8NHY3
O15047,grp_1900,P62995
O15054,grp_0475,Q8NHY3
O15066,grp_1764,Q92994
O15078,grp_0010,D9YZV4
O15084,grp_2007,Q96HA7
O15091,grp_0076,O15091
O15105,grp_0077,O15105
O15111,grp_0078,O15111
O15116,grp_1355,Q9BW85
O15117,grp_0079,O15117
O15120,grp_2032,Q96PD7
O15123,grp_0371,P24821
O15126,grp_0080,O15127
O15127,grp_0080,O15127
O15143,grp_0081,O15143
O15144,grp_0081,O15143
O15145,grp_0081,O15143
O15146,grp_1727,Q08722
O15151,grp_1870,O15151
O15160,grp_1871,O15160
O15164,grp_0453,Q96CB8
O15169,grp_1258,O94810
O15182,grp_1872,O15182
O15194,grp_0054,O14595
O15198,grp_1873,O15198
O15212,grp_1865,O60925
O15228,grp_2032,Q96PD7
O15230,grp_1874,O15230
O15234,grp_1333,Q9BTD8
O15235,grp_1262,O15235
O15239,grp_0863,O15239
O15259,grp_0864,O15259
O15260,grp_0865,O15260
O15265,grp_0866,O15265
O15269,grp_1395,Q9H1K1
O15270,grp_1395,Q9H1K1
O15273,grp_1727,Q08722
O15287,grp_0514,O75096
O15294,grp_0870,O15294
O15297,grp_1480,P35813
O15304,grp_0871,O15304
O15315,grp_1621,P51587
O15318,grp_0063,O14802
O15335,grp_2043,O95970
O15344,grp_1589,P49746
O15350,grp_0873,O15350
O15354,grp_1080,Q5T848
O15355,grp_1480,P35813
O15357,grp_0614,Q9Y6W5
O15360,grp_0514,O75096
