split_index,seed_accepted,UniProt_AC,group_id,group_size,group_bucket,group_status,split,protein_label,label_mask
1,42,A0A5B9,grp_0222,113.0,large,constrained,train,Non_target,True
1,42,A0AVF1,grp_0018,48.0,large,constrained,train,Non_target,True
1,42,A0JLT2,grp_0000,51.0,large,constrained,test,Non_target,True
1,42,A0M8Q6,grp_0222,113.0,large,constrained,train,Non_target,True
1,42,A1L190,grp_0001,1.0,singleton,constrained,train,Non_target,True
1,42,A2RRP1,grp_1179,89.0,large,constrained,train,Non_target,True
1,42,A4GXA9,grp_0002,3.0,small,constrained,test,Non_target,True
1,42,A5D8V6,grp_1284,14.0,medium,constrained,train,Non_target,True
1,42,A5D8V7,grp_1013,2.0,small,constrained,test,Non_target,True
1,42,A5LHX3,grp_0821,33.0,large,constrained,train,Non_target,True
1,42,A5PLN9,grp_0003,15.0,medium,constrained,train,Non_target,True
1,42,A5X5Y0,grp_0211,16.0,medium,constrained,train,Non_target,True
1,42,A5YKK6,grp_0004,1.0,singleton,constrained,train,Non_target,True
1,42,A6H8Y1,grp_0005,1.0,singleton,constrained,train,Non_target,True
1,42,A6NGQ2,grp_0006,4.0,small,constrained,train,Non_target,True
1,42,A6NHQ4,grp_0007,18.0,medium,constrained,test,Non_target,True
1,42,A6NHX0,grp_0768,3.0,small,constrained,test,Non_target,True
1,42,A7MCY6,grp_0824,2.0,small,constrained,train,Non_target,True
1,42,A8K0Z3,grp_0009,6.0,medium,constrained,train,Non_target,True
1,42,A8MT69,grp_0301,7.0,medium,constrained,train,Non_target,True
1,42,A8MTZ0,grp_0008,1.0,singleton,constrained,test,Non_target,True
1,42,A8MW99,grp_0848,2.0,small,constrained,train,Non_target,True
1,42,A8MWX3,grp_0009,6.0,medium,constrained,train,Non_target,True
1,42,A8MZ26,grp_0697,17.0,medium,constrained,train,Non_target,True
1,42,A9QM74,grp_1301,5.0,small,constrained,train,Non_target,True
1,42,A9UHW6,grp_0094,5.0,small,constrained,test,Non_target,True
1,42,B1AL88,grp_0716,2.0,small,constrained,test,Non_target,True
1,42,B7Z8K6,grp_0010,1.0,singleton,constrained,test,Non_target,True
1,42,C4AMC7,grp_0009,6.0,medium,constrained,train,Non_target,True
1,42,C9JR72,grp_1186,47.0,large,constrained,train,Non_target,True
1,42,D6RGH6,grp_0011,1.0,singleton,constrained,train,Non_target,True
1,42,E9PQX1,grp_0012,1.0,singleton,constrained,train,Non_target,True
1,42,K9M1U5,grp_0222,113.0,large,constrained,train,Non_target,True
1,42,L0R819,grp_0969,8.0,medium,constrained,test,Non_target,True
1,42,O00148,grp_0688,12.0,medium,constrained,train,Non_target,True
1,42,O00159,grp_0013,1.0,singleton,constrained,train,Non_target,True
1,42,O00168,grp_0014,1.0,singleton,constrained,test,Non_target,True
1,42,O00187,grp_0015,1.0,singleton,constrained,train,Drug_target,True
1,42,O00189,grp_0016,1.0,singleton,constrained,test,Non_target,True
1,42,O00203,grp_0738,23.0,large,constrained,test,Non_target,True
1,42,O00206,grp_1038,5.0,small,constrained,train,Drug_target,True
1,42,O00217,grp_0017,17.0,medium,constrained,train,Non_target,True
1,42,O00219,grp_0119,8.0,medium,constrained,train,Non_target,True
1,42,O00231,grp_0821,33.0,large,constrained,train,Non_target,True
1,42,O00232,grp_0821,33.0,large,constrained,train,Non_target,True
1,42,O00255,grp_0020,1.0,singleton,constrained,train,Drug_target,True
1,42,O00257,grp_0165,8.0,medium,constrained,train,Non_target,True
1,42,O00258,grp_0103,3.0,small,constrained,train,Non_target,True
1,42,O00267,grp_0841,5.0,small,constrained,train,Non_target,True
1,42,O00268,grp_0021,1.0,singleton,constrained,train,Non_target,True
1,42,O00273,grp_0022,1.0,singleton,constrained,train,Non_target,True
1,42,O00287,grp_0023,1.0,singleton,constrained,train,Non_target,True
1,42,O00300,grp_0101,40.0,large,constrained,test,Non_target,True
1,42,O00303,grp_0024,13.0,medium,constrained,train,Non_target,True
1,42,O00305,grp_0025,1.0,singleton,constrained,train,Non_target,True
1,42,O00327,grp_0317,9.0,medium,constrained,train,Non_target,True
1,42,O00329,grp_0224,6.0,medium,constrained,test,Drug_target,True
1,42,O00330,grp_0242,1.0,singleton,constrained,train,Non_target,True
1,42,O00339,grp_0000,51.0,large,constrained,test,Non_target,True
1,42,O00411,grp_0026,1.0,singleton,constrained,train,Non_target,True
1,42,O00422,grp_0027,2.0,small,constrained,train,Non_target,True
1,42,O00444,grp_0916,34.0,large,constrained,train,Drug_target,True
1,42,O00459,grp_0028,1.0,singleton,constrained,train,Non_target,True
1,42,O00463,grp_1293,5.0,small,constrained,train,Non_target,True
1,42,O00471,grp_0110,45.0,large,constrained,test,Non_target,True
1,42,O00472,grp_0029,2.0,small,constrained,test,Non_target,True
1,42,O00483,grp_0030,1.0,singleton,constrained,test,Non_target,True
1,42,O00487,grp_0821,33.0,large,constrained,train,Non_target,True
1,42,O00499,grp_1076,4.0,small,constrained,test,Non_target,True
1,42,O00505,grp_1301,5.0,small,constrained,train,Non_target,True
1,42,O00522,grp_0928,6.0,medium,constrained,train,Non_target,True
1,42,O00541,grp_1098,3.0,small,constrained,train,Non_target,True
1,42,O00560,grp_1295,19.0,medium,constrained,test,Non_target,True
1,42,O00566,grp_0033,32.0,large,constrained,train,Non_target,True
1,42,O00567,grp_0033,32.0,large,constrained,train,Non_target,True
1,42,O00602,grp_0034,6.0,medium,constrained,train,Non_target,True
1,42,O00623,grp_1293,5.0,small,constrained,train,Non_target,True
1,42,O00629,grp_0035,1.0,singleton,constrained,train,Non_target,True
1,42,O00716,grp_0036,6.0,medium,constrained,train,Non_target,True
1,42,O14497,grp_0037,4.0,small,constrained,train,Non_target,True
1,42,O14521,grp_0038,3.0,small,constrained,test,Non_target,True
1,42,O14561,grp_0039,4.0,small,constrained,test,Non_target,True
1,42,O14579,grp_0018,48.0,large,constrained,train,Non_target,True
1,42,O14593,grp_0041,1.0,singleton,constrained,test,Non_target,True
1,42,O14617,grp_0574,10.0,medium,constrained,train,Non_target,True
1,42,O14682,grp_1186,47.0,large,constrained,train,Non_target,True
1,42,O14686,grp_0042,1.0,singleton,constrained,train,Non_target,True
1,42,O14713,grp_0043,1.0,singleton,constrained,train,Non_target,True
1,42,O14727,grp_0966,2.0,small,constrained,train,Non_target,True
1,42,O14744,grp_0899,5.0,small,constrained,train,Drug_target,True
1,42,O14746,grp_0738,23.0,large,constrained,test,Drug_target,True
1,42,O14764,grp_0101,40.0,large,constrained,test,Non_target,True
1,42,O14777,grp_1082,2.0,small,constrained,test,Non_target,True
1,42,O14782,grp_0045,3.0,small,constrained,test,Non_target,True
1,42,O14802,grp_0046,9.0,medium,constrained,train,Drug_target,True
1,42,O14807,grp_0369,12.0,medium,constrained,train,Non_target,True
1,42,O14818,grp_0821,33.0,large,constrained,train,Non_target,True
1,42,O14862,grp_0868,3.0,small,constrained,test,Non_target,True
1,42,O14863,grp_0951,14.0,medium,constrained,train,Non_target,True
1,42,O14867,grp_1186,47.0,large,constrained,train,Non_target,True
1,42,O14893,grp_1091,29.0,large,constrained,test,Non_target,True
1,42,O14908,grp_1295,19.0,medium,constrained,test,Non_target,True
1,42,O14910,grp_1295,19.0,medium,constrained,test,Non_target,True
1,42,O14920,grp_0048,1.0,singleton,constrained,test,Drug_target,True
1,42,O14925,grp_0951,14.0,medium,constrained,train,Non_target,True
1,42,O14936,grp_0929,2.0,small,constrained,train,Non_target,True
1,42,O14949,grp_0049,12.0,medium,constrained,train,Non_target,True
