feature,n_splits,n_confirmed,n_tentative,n_rejected,confirmation_rate,mean_rank,feature_set
pair_AvgNeighborDegree,15,15,0,0,1.0,1.0,pairwise
pair_Degree,15,15,0,0,1.0,1.0,pairwise
pair_LocalClustCoeff,15,15,0,0,1.0,1.0,pairwise
pair_TriangleCount,15,15,0,0,1.0,1.0,pairwise
base_AvgNeighbourDegree,15,15,0,0,1.0,1.0,hypergraph
base_Degree,15,15,0,0,1.0,1.0,hypergraph
base_TriangleCount,15,15,0,0,1.0,1.0,hypergraph
base_UniquePartners,15,15,0,0,1.0,1.0,hypergraph
protein_MedComplexNodes,15,15,0,0,1.0,1.0,hypergraph
protein_MedianUniqueRatio,15,15,0,0,1.0,1.0,hypergraph
stoich_AvgNeighbourDegreeStoich,15,15,0,0,1.0,1.0,hypergraph
stoich_MedComplexSize,15,15,0,0,1.0,1.0,hypergraph
stoich_MedianRatio,15,15,0,0,1.0,1.0,hypergraph
stoich_WeightedTriangles,15,15,0,0,1.0,1.0,hypergraph
protein_RangeUniqueRatio,15,12,2,1,0.8,1.2666666666666666,hypergraph
base_LocalClustCoeff,15,9,3,3,0.6,1.7333333333333334,hypergraph
stoich_RangeRatio,15,3,1,11,0.2,2.066666666666667,hypergraph
protein_RangeComplexNodes,15,0,0,15,0.0,3.2,hypergraph
stoich_RangeComplexSize,15,0,0,15,0.0,4.133333333333334,hypergraph
